airspeed-indicator_indicated-speed-kt,Speed
altimeter_indicated-altitude-ft,Altitude
altimeter_pressure-alt-ft,Altimeter Pressure
attitude-indicator_indicated-pitch-deg,Pitch
attitude-indicator_indicated-roll-deg,Roll
attitude-indicator_internal-pitch-deg,Int Pitch
attitude-indicator_internal-roll-deg,Int Roll
dme_indicated-distance-nm,Distance
dme_indicated-ground-speed-kt,Ground Speed
dme_indicated-time-min,Time
encoder_indicated-altitude-ft,Encoder Altitude
encoder_pressure-alt-ft,Encoder Pressure
gps_indicated-altitude-ft,GPS Altitude
gps_indicated-ground-speed-kt,GPS Ground Speed
gps_indicated-latitude-deg,GPS Latitude
gps_indicated-longitude-deg,GPS Indicated Longitude
gps_indicated-track-magnetic-deg,GPS Magnetic
gps_indicated-track-true-deg,GPS Track
gps_indicated-vertical-speed,GPS Vertical Speed
gps_odometer,GPS Odomoter
gps_trip-odometer,GPS Trip Odometer
heading-indicator_offset-deg,Heading Offset
heading-indicator_spin,Heading Spin
heading-indicator-fg_offset-deg,Heading Offset2
magnetic-compass_indicated-heading-deg,Compass Heading
slip-skid-ball_indicated-slip-skid,Slip
turn-indicator_indicated-turn-rate,Turn Rate
vertical-speed-indicator_indicated-speed-fpm,Vertical Speed
flight_aileron,Aileron
flight_elevator,Elevator
flight_rudder,Rudder
flight_flaps,Flaps
flight_slats,Slats
flight_BLC,BLC
flight_spoilers,Spoilers
flight_speedbrake,SpeedBrake
flight_wing-sweep,Wing Sweep
flight_wing-fold,Wing Fold
flight_drag-chute,Drag Chute
engines_throttle_idle,Throttle Status
engine_throttle,Throttle
engine_starter,Starter
engine_fuel-pump,Fuel Pump
engine_fire-switch,Fire Switch
engine_fire-bottle-discharge,Fire Bottle Discharge
engine_cutoff,Cutoff
engine_mixture,Mixture
engine_propeller-pitch,Propeller Pitch
engine_magnetos,Magnetos
engine_WEP,WEP
engine_cowl-flaps-norm,Cowl Flaps
engine_ignition,Ignition
engine_augmentation,Augmentation
engine_reverser,Reverser
engine_water-injection,Injection
engine_condition,Condition
system_engine-pump,Sys Engine Pump
system_electric-pump,Electric Pump
pneumatic_APU-bleed,APU Bleed
engine_bleed,Bleed
position_altitude-agl-ft,Pos Altitude
position_altitude-ft,Pos Altitude Ft
position_ground-elev-ft,Pos Ground Elevator Ft
position_ground-elev-m,Pos Ground Elevator M
position_sea-level-radius-ft,Sea Leavel
orientation_alpha-deg,alpha
orientation_heading-deg,Heading
orientation_heading-magnetic-deg,Magnetic Heading
orientation_pitch-deg,Orien Pitch
orientation_pitch-rate-degps,Pitch Rate
orientation_roll-deg,Orien Roll
orientation_roll-rate-degps,Orien Roll Rate
orientation_side-slip-deg,Side Slip
orientation_side-slip-rad,Side Slip2
orientation_yaw-rate-degps,Yaw
velocities_airspeed-kt,Air Speed
velocities_groundspeed-kt,Ground Speed2
velocities_mach,Mach Speed
velocities_speed-north-fps,North Speed
velocities_speed-east-fps,East Speed
velocities_speed-down-fps,Down Speed
velocities_uBody-fps,uBody
velocities_vBody-fps,vBody
velocities_wBody-fps,wBody
velocities_vertical-speed-fps,Vertical Speed2
velocities_glideslope,Glide Slope
accelerations_nlf,NLF
ned_north-accel-fps_sec,North Acceleration
ned_east-accel-fps_sec,East Acceleration
ned_down-accel-fps_sec,Down Acceleration
pilot_x-accel-fps_sec,Pilot X Acceleration
pilot_y-accel-fps_sec,Pilot Y Acceleration
pilot_z-accel-fps_sec,Pilot Z Acceleration
engine_cht-degf,CHT
engine_cranking,Cranking
engine_egt-degf,EGT
engine_fuel-consumed-lbs,Fuel Cosumed
engine_fuel-flow-gph,Fuel Flow GPH
engine_fuel-flow_pph,Fuel Flow PPH
engine_mp-inhg,INHG
engine_mp-osi,OSI
engine_oil-pressure-psi,Oil Pressure
engine_oil-temperature-degf,Oil Temp
engine_out-of-fuel,Out Of Fuel
engine_rpm,Rpm
engine_running,Running
engine_thrust_lb,Thrust Lb
